"Authority","Gender","Count"
"Royal Swedish Academy of Letters member ID","female","12"
"DBC author ID","female","12"
"Semantic Scholar author ID","male","12"
"Académie française member ID","male","12"
"Encyklopedia Teatru Polskiego person ID","male","12"
"BIU Santé person ID","male","12"
"NYRB contributor ID","female","12"
"ResearcherID","female","12"
"Internet Speculative Fiction Database author ID","female","12"
"Filmportal ID","female","12"
"SIUSA archive producer person ID","female","12"
"Paměť národa ID","male","12"
"LiederNet composer ID","male","12"
"Hyperion Records person ID","male","12"
"MYmovies person ID","male","12"
"IDIH ID","male","11"
"Harvard Index of Botanists ID","male","11"
"Radio Radicale person ID","male","11"
"Invaluable.com person ID","female","11"
"CTHS person ID","female","11"
"Estonian Research Portal person ID","female","11"
"Amburger database ID","male","11"
"National Historical Museums of Sweden agent ID","female","11"
"LTit person ID","male","11"
"Podchaser creator ID","male","11"
"e-Rad researcher number","male","11"
"FLORE author ID","male","11"
"PictoRight ID code","male","11"
"Académie de Versailles member ID","male","10"
"Dimensions author ID","female","10"
"KVAB member ID","female","10"
"PARES ID","male","10"
"Rodovid ID","male","10"
"Munzinger person ID","female","10"
"Austrian Parliament 1848–1918 ID","male","10"
"WBIS ID","female","10"
"Archivio Storico Ricordi person ID","male","10"
"AAGM person or institution ID","male","10"
"Archives at Yale names ID","female","10"
"OsobnostiRegionu.cz ID","male","10"
"MovieMeter person ID","male","10"
"Biblioteche della Custodia di Terra Santa a Gerusalemme ID","female","10"
"AADFI member ID","female","10"
"Franciscan Center of Christian Oriental Studies ID","male","10"
"ARPI author ID","male","10"
"Isidore scholar ID","female","9"
"GEPRIS person ID","female","9"
"Flanders Arts Institute person ID","male","9"
"Companies House officer ID","female","9"
"LONSEA ID","male","9"
"Entomologists of the World ID","male","9"
"BD Gest' author ID","male","9"
"Database of Classical Scholars ID","male","9"
"CRIStin ID","female","9"
"Estonian biographical database ID","male","9"
"Slovak National Library ID (VIAF)","female","9"
"Philadelphia Museum of Art entity ID","female","9"
"Archive Site Trinity College Cambridge ID","female","9"
"Union Catalog of Armenian Libraries authority ID","female","9"
"Order of Canada recipient ID","male","9"
"AV Production person ID","female","9"
"Catalogue of the Capitular Library of Verona author ID","female","9"
"Istituto Veneto di Scienze, Lettere ed Arti member ID","male","9"
"Evene ID","female","8"
"Canal Académie ID","male","8"
"Muck Rack journalist ID","male","8"
"WeRelate person ID","male","8"
"Australian Women's Register ID","female","8"
"BVPB authority ID","male","8"
"EPHE ID","male","8"
"Académie des sciences d'outre-mer member ID","male","8"
"Mathematics Genealogy Project ID","male","8"
"NLC authorities","male","8"
"BBF ID","male","8"
"Encyclopædia Britannica contributor ID","female","8"
"Kindred Britain ID","female","8"
"EFIS person ID","female","8"
"Nachlässe in Austria ID","female","8"
"CONOR.AL ID","female","8"
"Cinémathèque québécoise person ID","male","8"
"Biblioteca di Santa Sabina ID","female","8"
"MacArthur Fellows Program ID","male","8"
"IRIS UNINA author ID","male","8"
"SNSF person ID","male","8"
"PGM author ID","male","8"
"National Library of Ireland ID","female","8"
"HKCAN ID","female","7"
"ResearchGate contributions ID","female","7"
"Académie royale de Belgique member ID","male","7"
"Publons author ID","male","7"
"Merkelstiftung person ID","male","7"
"Researchmap ID","female","7"
"Akadem person ID","male","7"
"Medicina author ID","male","7"
"EDIT16 catalogue author ID","male","7"
"HelveticArchives ID","male","7"
"DVN ID","female","7"
"MTMT author ID","male","7"
"Grace's Guide ID","male","7"
"Marburger Professorenkatalog ID","male","7"
"HAS member ID","male","7"
"COURAGE ID","female","7"
"Aozora Bunko author ID","male","7"
"Filmový přehled person ID","female","7"
"ASUT ID","male","7"
"Gateway to Research person ID","female","7"
"Rheinland-Pfälzische Personendatenbank ID","female","7"
"Medieval Manuscripts in Oxford Libraries person ID","male","7"
"Portrait Archive ID","female","7"
"e-Rad researcher number","female","7"
"ARPI author ID","female","7"
"LittleSis people ID","male","7"
"Muck Rack journalist ID","female","6"
"BDELIS ID","female","6"
"Académie de Rouen member ID","male","6"
"FilmPolski.pl ID","male","6"
"Collective Biographies of Women ID","female","6"
"Norwegian historical register of persons ID","female","6"
"Lambiek Comiclopedia artist ID","male","6"
"Filmweb.pl person ID","male","6"
"France Culture person ID","female","6"
"Akadem person ID","female","6"
"CALIS ID","male","6"
"botanist author abbreviation","male","6"
"IPNI author ID","male","6"
"Internet Broadway Database person ID","male","6"
"Kritisches Lexikon der Gegenwartsliteratur ID","male","6"
"CRIStin ID","male","6"
"PORT person ID","female","6"
"MTMT author ID","female","6"
"Estonian Research Portal person ID","male","6"
"PhilPapers author ID","male","6"
"student register of the University of Helsinki ID (1853–1899)","male","6"
"Biblioteche dei filosofi ID","male","6"
"Personendatenbank Germania Sacra ID","male","6"
"Gateway to Research person ID","male","6"
"Frauen in Bewegung 1848–1938 ID","female","6"
"Biblioteca Franco Serantini ID","female","6"
"Digital Library of Armenian Literature author ID","male","6"
"Romanistenlexikon ID","male","6"
"Festivaletteratura person ID","female","6"
"IRIS UNIBO author ID","female","6"
"U-PAD author ID","female","6"
"LittleSis people ID","female","6"
"Open Media Database person ID","male","5"
"Savoirs ENS ID","male","5"
"ResearchGate contributions ID","male","5"
"Share-VDE author ID","male","5"
"Biblioteca Nacional de México ID","male","5"
"HAL author ID","male","5"
"Encyklopedia Teatru Polskiego person ID","female","5"
"Flanders Arts Institute person ID","female","5"
"Webb-site person ID","male","5"
"Swedish Academy member ID","male","5"
"Trading Card Database person ID","male","5"
"Dharma Drum Institute of Liberal Arts person ID","male","5"
"Rodovid ID","female","5"
"AlloCiné person ID","female","5"
"BLPL author ID","male","5"
"zbMATH author ID","female","5"
"CCAB ID","female","5"
"Theatricalia person ID","male","5"
"BVLarramendi ID","male","5"
"BeWeb person ID","female","5"
"Quirinale ID","female","5"
"Order of Canada recipient ID","female","5"
"Patrinum ID","female","5"
"Biographia Benedictina ID","male","5"
"Catalogue of the General State Archives ID","female","5"
"The Women's Print History Project person ID","male","5"
"FLORE author ID","female","5"
"Académie de Montpellier member ID","male","4"
"Dictionnaire de spiritualité ID","male","4"
"Microsoft Academic ID","male","4"
"Microsoft Academic ID","female","4"
"Leopoldina member ID","male","4"
"Publons author ID","female","4"
"BHL creator ID","female","4"
"Armenian National Academy of Sciences ID","male","4"
"IUF member ID","male","4"
"Medicina author ID","female","4"
"Classiques des sciences sociales ID","male","4"
"e-archiv.li ID","male","4"
"Rotten Tomatoes ID","male","4"
"EGAXA ID","female","4"
"Database of Classical Scholars ID","female","4"
"Les Archives du spectacle person ID","female","4"
"CESAR person ID","male","4"
"French Sculpture Census artist ID","male","4"
"DBLP author ID","female","4"
"Scope.dk person ID","male","4"
"autores.uy ID","male","4"
"TED speaker ID","female","4"
"FamilySearch person ID","female","4"
"National Library of Wales Authority ID","female","4"
"Alexander Turnbull Library ID","female","4"
"Paměť národa ID","female","4"
"Swiss National Sound Archives ID","male","4"
"Bionomia ID","male","4"
"Poincaré Papers person ID","male","4"
"NMVW ID","female","4"
"The Conversation author ID","female","4"
"Regesta Ecclesiastica Salisburgensia ID","male","4"
"LIMIS person ID","female","4"
"Provenio UUID","female","4"
"ANPI person numeric ID","male","4"
"Cyprus Bibliography ID","male","4"
"MacArthur Fellows Program ID","female","4"
"Franciscan Center of Christian Oriental Studies ID","female","4"
"MART catalog person ID","female","4"
"INAPP author ID","male","4"
"USiena air author ID","male","4"
"IRIS UNISA author ID","male","4"
"Re.Public@Polimi author ID","male","4"
"Re.Public@Polimi author ID","female","4"
"PORTO@Iris author ID","male","4"
"PORTO@Iris author ID","female","4"
"Zürich Herbaria collector ID","male","4"
"LMHL author ID","male","4"
"Academy Awards Database nominee ID","male","3"
"Académie royale de Belgique member ID","female","3"
"Biblioteca Virtual Andalucía authority ID","male","3"
"Danskefilm person ID","male","3"
"The Black Book ID","male","3"
"HAL author ID","female","3"
"Radio Radicale person ID","female","3"
"Académie des Inscriptions et Belles-Lettres member ID","female","3"
"Swedish Portrait Archive ID","female","3"
"EPHE ID","female","3"
"Premiers préfets ID","male","3"
"France Culture person ID","male","3"
"IUF member ID","female","3"
"Whonamedit? doctor ID","male","3"
"Encyclopaedia Herder person ID","male","3"
"BD Gest' author ID","female","3"
"Mathematics Genealogy Project ID","female","3"
"Catholic Hierarchy person ID","male","3"
"NCL ID","male","3"
"Internet Broadway Database person ID","female","3"
"Rotten Tomatoes ID","female","3"
"Global Anabaptist Mennonite Encyclopedia Online ID","male","3"
"Elonet person ID","female","3"
"BDRC Resource ID","male","3"
"TED speaker ID","male","3"
"warheroes.ru ID","male","3"
"LBT person ID","female","3"
"PhilPeople profile","male","3"
"Memorial Book Bundesarchiv ID","female","3"
"Memorial Book Bundesarchiv ID","male","3"
"Frick Art Reference Library Artist File ID","female","3"
"WeChangEd ID","female","3"
"Curran Index contributor ID","female","3"
"Provenio ID","male","3"
"The Conversation author ID","male","3"
"Norwegian prisoner register person ID","male","3"
"Český hudební slovník osob a institucí ID","female","3"
"Jewish Virtual Library ID","male","3"
"Canadian Women Artists History Initiative ID","female","3"
"Quirinale ID","male","3"
"ZOBODAT person ID","female","3"
"BVFE author ID","male","3"
"Germanistenverzeichnis ID","male","3"
"MovieMeter person ID","female","3"
"Podchaser creator ID","female","3"
"ASE person ID","male","3"
"IRIS UNINA author ID","female","3"
"IRIS UNIPV author ID","male","3"
"SNSF person ID","female","3"
"MYmovies person ID","female","3"
"IRIS UNISA author ID","female","3"
"U-PAD author ID","male","3"
"Archivio Storico dell'Università degli Studi di Cagliari person ID","male","3"
"IRIS UNIGE author ID","male","3"
"IRIS UNIGE author ID","female","3"
"Künstlerdatenbank ID","male","3"
"CBDB.cz author ID","male","3"
"IRIS UNIUD author ID","male","3"
"National Humanities Medal winner ID","male","2"
"Baidu ScholarID","male","2"
"Adelphi author ID","female","2"
"Norwegian war refugees register ID","male","2"
"ComiXology creator ID","male","2"
"Harvard Index of Botanists ID","female","2"
"Hymnary author ID","male","2"
"BVPH authority ID","male","2"
"Georgian National Filmography person ID","male","2"
"Saxon Academy of Sciences member ID","female","2"
"FilmPolski.pl ID","female","2"
"Digital Valencian Library author ID","male","2"
"National Academy of Medicine (France) member ID","male","2"
"autores.ar ID","male","2"
"All-Russian Mathematical Portal ID","male","2"
"WBPLN author ID","male","2"
"Biblioteca Nacional de México ID","female","2"
"Lives of WWI ID","male","2"
"Accademia della Crusca ID","female","2"
"CiNii author ID (articles)","male","2"
"MR Author ID","male","2"
"MR Author ID","female","2"
"National Library of Korea ID","non-binary","2"
"Swedish Gravestone ID","male","2"
"CiNii author ID (books)","non-binary","2"
"Bibliothèque nationale de France ID","non-binary","2"
"Léonore ID","female","2"
"Low German Bibliography and Biography ID","male","2"
"National Library of Romania ID","female","2"
"Lattes Platform number","male","2"
"Sächsische Biografie (GND) ID","female","2"
"LibriVox author ID","female","2"
"Righteous Among The Nations ID","female","2"
"VIAF ID","non-binary","2"
"ISNI","non-binary","2"
"Library of Congress authority ID","non-binary","2"
"GND ID","non-binary","2"
"Swedish Film Database person ID","female","2"
"NSDAP membership number (1925–1945)","female","2"
"DBLP author ID","male","2"
"TCM Movie Database person ID","male","2"
"RERO ID","non-binary","2"
"Bloomberg person ID","male","2"
"elFilm person ID","male","2"
"HAS member ID","female","2"
"PhilPeople profile","female","2"
"KU Leuven person ID","male","2"
"WorldCat Identities ID","non-binary","2"
"Médias 19 ID","female","2"
"WeChangEd ID","male","2"
"elibrary.ru person ID","female","2"
"Accademia delle Scienze di Torino ID","female","2"
"Canadiana Name Authority ID","non-binary","2"
"National Library of Israel J9U ID","non-binary","2"
"CTHS author ID","male","2"
"Fototeka person ID","male","2"
"FIPRESCI person ID","male","2"
"CONOR.KS ID","male","2"
"Museo Galileo biography ID","male","2"
"Obituaries Australia ID","male","2"
"BiographySampo person ID","female","2"
"FranceArchives agent ID","female","2"
"Rekhta author ID","male","2"
"Memento Vienna person ID","male","2"
"Istituto Veneto di Scienze, Lettere ed Arti member ID","female","2"
"Schoenberg Database of Manuscripts name ID","female","2"
"The Women's Print History Project person ID","female","2"
"Joods Biografisch Woordenboek ID","female","2"
"Anagrafe degli studiosi ID","female","2"
"INAPP author ID","female","2"
"IRIS IMT author ID","female","2"
"Gente di Tuscia ID","male","2"
"Enciclopedia di Roma person ID","female","2"
"IRIS UNIPG author ID","male","2"
"EXQUIRITE author ID","male","2"
"IRIS UNIURB author ID","male","2"
"IRIS Verona author ID","male","2"
"IRIS UNIBO author ID","male","2"
"AdoroCinema person ID","male","2"
"Sceneweb artist ID","male","2"
"IRIS UNIUD author ID","female","2"
"Poetry Society of America poet ID","male","1"
"Virtual Laboratory person ID","male","1"
"CNRS Talent page","male","1"
"CNRS Talent page","female","1"
"La Vie des idées ID","female","1"
"Libris-URI","non-binary","1"
"Académie de Mâcon member ID","male","1"
"Académie de Mâcon member ID","female","1"
"Pontificia Università della Santa Croce ID","non-binary","1"
"Académie de Marseille member ID","male","1"
"Académie de Marseille member ID","female","1"
"Geheugen van de VU person ID","male","1"
"Index of Historic Collectors and Dealers of Cubism ID","female","1"
"Annuaire de la magistrature ID","male","1"
"Muck Rack journalist ID","non-binary","1"
"AFAS author ID","male","1"
"ProsopoMaths ID","male","1"
"YÖK Academic Profile ID","male","1"
"YÖK Academic Profile ID","female","1"
"Cineuropa person ID","male","1"
"Cineuropa person ID","female","1"
"Académie d'Arles member ID","male","1"
"SinemaTürk person ID","male","1"
"Hymnary author ID","female","1"
"Patrimonio Digital de Castilla-La Mancha authority ID","male","1"
"Fondation Maeght artist ID","male","1"
"NZ On Screen person ID","male","1"
"Académie de Rouen member ID","female","1"
"Surman ID","male","1"
"Cinema of Israel ID","male","1"
"SNAC ARK ID","non-binary","1"
"Luding designer ID","male","1"
"BoardGameGeek designer ID","male","1"
"Babelio author ID","non-binary","1"
"Danskefilm person ID","female","1"
"Mendeley person ID","male","1"
"BoF person ID","female","1"
"DBC author ID","non-binary","1"
"Ishim ID","male","1"
"SHARE Catalogue author ID","non-binary","1"
"National Library Board Singapore ID","male","1"
"Unifrance person ID","male","1"
"Unifrance person ID","female","1"
"Athenaeum person ID","female","1"
"WBPLN author ID","female","1"
"Internet Off-Broadway Database ID","male","1"
"INDUCKS creator ID","male","1"
"Collective Biographies of Women ID","non-binary","1"
"Africultures person ID","male","1"
"MYmovies director ID (former scheme)","male","1"
"Compagnon de la Libération ID","male","1"
"TMDb person ID","non-binary","1"
"Behind The Voice Actors person ID","male","1"
"Filmweb.pl person ID","female","1"
"Armenian National Academy of Sciences ID","female","1"
"Webb-site person ID","female","1"
"Douban movie celebrity ID","male","1"
"Douban movie celebrity ID","female","1"
"ARMB member ID","male","1"
"American Film Institute person ID","male","1"
"Académie des sciences morales et politiques member ID","male","1"
"Académie des sciences d'outre-mer member ID","female","1"
"Dictionnaire critique des historiens de l'art ID","female","1"
"National Academy of Sciences member ID","male","1"
"NYRB contributor ID","non-binary","1"
"RHE doctor ID","female","1"
"IMDb ID","non-binary","1"
"Libraries Australia ID","non-binary","1"
"Open Library ID","non-binary","1"
"NKCR AUT ID","non-binary","1"
"Perlentaucher ID","non-binary","1"
"SELIBR ID","non-binary","1"
"RSL ID (person)","female","1"
"NORAF ID","non-binary","1"
"National Library of Romania ID","male","1"
"Nationale Thesaurus voor Auteurs ID","non-binary","1"
"Lattes Platform number","female","1"
"NUKAT ID","non-binary","1"
"AlloCiné person ID","non-binary","1"
